          ;       31483;   ;sanitiza  ;Array                                   ;13052015      ;170628;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       31483;   ;sanitiza  ;Fin                                     ;13052015      ;170628;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1554788625;       31483;   ;pago      ;inicio                                  ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1554788625;       31483;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170628;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;         520;   ;resultado ;Desencriptando                          ;13052015      ;170656;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;         520;   ;resultado ;Validacion                              ;13052015      ;170656;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;         520;   ;resultado ;351                                     ;13052015      ;170656;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;         520;   ;resultado ;351                                     ;13052015      ;170656;200.10.12.55   ;OK ;                    ;http://cccchile.cl/modules/webpayment/cierre_compra.php                 
1554788625;         520;   ;transacc  ;1554788625                              ;13052015      ;170656;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
1554788625;         520;   ;resultado ;logro abrir_conexion                    ;13052015      ;170656;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
1554788625;         520;   ;transacc  ;1554788625                              ;13052015      ;170656;200.10.12.55   ;OK ;597026007976        ;POST a url http://cccchile.cl/modules/webpayment/cierre_compra.php      
1554788625;         520;   ;transacc  ;1554788625                              ;13052015      ;170656;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;         520;   ;resultado ;351                                     ;13052015      ;170657;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;         520;   ;resultado ;351                                     ;13052015      ;170657;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
1554788625;         520;   ;resultado ;datoscom                                ;13052015      ;170657;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;         520;   ;resultado ;351                                     ;13052015      ;170657;200.10.12.55   ;ERR;                    ;46                                                                      
          ;       10049;   ;Filtro    ;Inicio                                  ;13052015      ;170949;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;       10049;   ;Filtro    ;tbk_param.txt                           ;13052015      ;170949;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;       10049;   ;Filtro    ;Terminado                               ;13052015      ;170949;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       10049;   ;sanitiza  ;inicio                                  ;13052015      ;170949;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
